User ID,Name,Date,Time,Rating,Text,Cleaned_Text,Tokenized_Text,Manually_Predicted,Predictions,Explanation,Match_Manual,Predictions,Explanation,Match_Manual
U1001,Alice Johnson,01/08/23,10:15,5,X Bank's product exceeded my expectations with its reliability and design.,x banks product exceeded expectations reliability design,"['x', 'banks', 'product', 'exceeded', 'expectations', 'reliability', 'design']",Positive,Positive,Manually classified as Positive due to words in text.,Yes,Positive,Manually classified as Positive due to words in text.,Yes
U1002,Steve Baker,02/08/23,11:30,4,"X Bank's mobile banking app is convenient for everyday transactions, but it sometimes lags during peak hours, which can be frustrating.",x banks mobile banking app convenient everyday transactions sometimes lags peak hours frustrating,"['x', 'banks', 'mobile', 'banking', 'app', 'convenient', 'everyday', 'transactions', 'sometimes', 'lags', 'peak', 'hours', 'frustrating']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1003,Bob Smith,03/08/23,9:45,3,"Decent product from X Bank, but it didn’t live up to the marketing hype.",decent product x bank didnt live marketing hype,"['decent', 'product', 'x', 'bank', 'didnt', 'live', 'marketing', 'hype']",Negative,Negative,Manually classified as Negative due to words in text.,Yes,Negative,Manually classified as Negative due to words in text.,Yes
U1004,Charlie Brown,04/08/23,13:20,2,Disappointed with X Bank's product due to its poor performance.,disappointed x banks product due poor performance,"['disappointed', 'x', 'banks', 'product', 'due', 'poor', 'performance']",Negative,Negative,Manually classified as Negative due to words in text.,Yes,Negative,Manually classified as Negative due to words in text.,Yes
U1005,David Wilson,05/08/23,8:50,1,Regret choosing X Bank's product; it didn’t meet expectations.,regret choosing x banks product didnt meet expectations,"['regret', 'choosing', 'x', 'banks', 'product', 'didnt', 'meet', 'expectations']",Negative,Negative,Manually classified as Negative due to words in text.,Yes,Negative,Manually classified as Negative due to words in text.,Yes
U1006,Emma Davis,06/08/23,14:35,5,Unique review for U1006 about their experience with X Bank's services or products.,unique review u1006 experience x banks services products,"['unique', 'review', 'u1006', 'experience', 'x', 'banks', 'services', 'products']",Neutral,Neutral,Neutral because compound score is 0.0000,Yes,Neutral,Neutral because compound score is 0.0000,Yes
U1007,Frank Miller,07/08/23,12:10,4,"X Bank's online banking services are easy to use, but the loan application process could be more streamlined.",x banks online banking services easy use loan application process could streamlined,"['x', 'banks', 'online', 'banking', 'services', 'easy', 'use', 'loan', 'application', 'process', 'could', 'streamlined']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1008,Grace Lee,08/08/23,16:05,3,"The credit card rewards program at X Bank is attractive, though the interest rates can be quite high.",credit card rewards program x bank attractive though interest rates quite high,"['credit', 'card', 'rewards', 'program', 'x', 'bank', 'attractive', 'though', 'interest', 'rates', 'quite', 'high']",Neutral,Positive,Positive because compound score is 0.8910,No,Positive,Positive because compound score is 0.8910,No
U1009,Henry Taylor,09/08/23,17:20,2,"X Bank's savings account offers decent interest rates, but the online platform can be slow at times.",x banks savings account offers decent interest rates online platform slow times,"['x', 'banks', 'savings', 'account', 'offers', 'decent', 'interest', 'rates', 'online', 'platform', 'slow', 'times']",Neutral,Positive,Positive because compound score is 0.4588,No,Positive,Positive because compound score is 0.4588,No
U1010,Isabel Moore,10/08/23,7:45,1,"Mortgage options at X Bank are flexible with good rates, but the document verification process could be quicker.",mortgage options x bank flexible good rates document verification process could quicker,"['mortgage', 'options', 'x', 'bank', 'flexible', 'good', 'rates', 'document', 'verification', 'process', 'could', 'quicker']",Positive,Positive,Manually classified as Positive due to words in text.,Yes,Positive,Manually classified as Positive due to words in text.,Yes
